RACINE	LIBELLE	ASO	DA	LibelleDomaineActivite	GP_CAS 	LibelleGroupesDeTypePlanification	GA	LibelleGroupesActivite	DA_GP	DA_GP_GA
05C05	Pontages aortocoronariens sans catheterisme cardiaque, ni coronarographie	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G062	Pontages coronaires	D07C04	D07C04G062
05C06	Autres interventions cardiothoraciques, age superieur a 1 an, ou vasculaires quel que soit l'age, avec circulation extracorporelle	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G063	Chirurgie cardiaque, autres	D07C04	D07C04G063
05C07	Autres interventions cardiothoraciques, age inferieur a 2 ans, avec circulation extracorporelle	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G063	Chirurgie cardiaque, autres	D07C04	D07C04G063
05C08	Autres interventions cardiothoraciques, age superieur a 1 an, ou vasculaires quel que soit l'age, sans circulation extracorporelle	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G063	Chirurgie cardiaque, autres	D07C04	D07C04G063
05C09	Autres interventions cardiothoraciques, age inferieur a 2 ans, sans circulation extracorporelle	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C04	Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens	G063	Chirurgie cardiaque, autres	D07C04	D07C04G063
05C10	Chirurgie majeure de revascularisation	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C14	Chirurgie vasculaire	G072	Chirurgies majeures revascularisation	D07C14	D07C14G072
05C11	Autres interventions de chirurgie vasculaire	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C14	Chirurgie vasculaire	G074	Autres chirurgies vasculaires	D07C14	D07C14G074
05C12	Amputations du membre inferieur, sauf des orteils, pour troubles circulatoires	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G028	Amputations	D02C11	D02C11G028
05C13	Amputations pour troubles circulatoires portant sur le membre superieur ou les orteils	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G028	Amputations	D02C11	D02C11G028
05C14	Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou etat de choc	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C13	Stimulateurs, Defibrillateurs cardiaques	G064	Stimulateurs / defibrillateurs cardiaques	D07C13	D07C13G064
05C15	Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni etat de choc	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C13	Stimulateurs, Defibrillateurs cardiaques	G064	Stimulateurs / defibrillateurs cardiaques	D07C13	D07C13G064
05C17	Ligatures de veines et eveinages	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C14	Chirurgie vasculaire	G073	Ligatures veines	D07C14	D07C14G073
05C18	Autres interventions sur le systeme circulatoire	C	D26	Activites inter specialites, suivi therapeutique d'affections connues	C25	Chirurgie inter specialites	G179	Chirurgie inter specialites	D26C25	D26C25G179
05C19	Poses d'un defibrillateur cardiaque	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C13	Stimulateurs, Defibrillateurs cardiaques	G064	Stimulateurs / defibrillateurs cardiaques	D07C13	D07C13G064
05C20	Remplacements ou ablations chirurgicale d'electrodes ou repositionnements de boitier de stimulation cardiaque permanente	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C13	Stimulateurs, Defibrillateurs cardiaques	G064	Stimulateurs / defibrillateurs cardiaques	D07C13	D07C13G064
05C21	Creations et refections de fistules arterioveineuses pour affections de la CMD 05	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C14	Chirurgie vasculaire	G074	Autres chirurgies vasculaires	D07C14	D07C14G074
05C22	Remplacements de stimulateurs cardiaques permanents	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	C13	Stimulateurs, Defibrillateurs cardiaques	G064	Stimulateurs / defibrillateurs cardiaques	D07C13	D07C13G064
05K05	Endoprotheses vasculaires avec infarctus du myocarde	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G057	Catheterismes therapeutiques vasculaires et coronariens avec endoprothese ou protheses cardiaques	D06K05	D06K05G057
05K06	Endoprotheses vasculaires sans infarctus du myocarde	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G057	Catheterismes therapeutiques vasculaires et coronariens avec endoprothese ou protheses cardiaques	D06K05	D06K05G057
05K10	Actes diagnostiques par voie vasculaire	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G059	Cathetherismes diagnostiques vasculaires et coronariens	D06K05	D06K05G059
05K12	Actes therapeutiques par voie vasculaire sauf endoprotheses, age inferieur a 18 ans	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K14	Mise en place de certains acces vasculaires pour des affections de la CMD 05, sejours de moins de 2 jours	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	K06	Mise en place d'acces vasculaire	G199	Mise en place d'acces vasculaire	D07K06	D07K06G199
05K15	Surveillances de greffes de coeur avec acte diagnostique par voie vasculaire	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G059	Cathetherismes diagnostiques vasculaires et coronariens	D06K05	D06K05G059
05K17	Affections cardiovasculaires sans acte operatoire de la CMD 05, avec anesthesie, en ambulatoire	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	K04	Aff. Cardio-vasculaire avec Acte classant non operatoire, ou anesthesie	G198	Affections cardiovasculaires sans acte operatoire de la CMD 05, avec anesthesie, en ambulatoire	D07K04	D07K04G198
05K19	Traitements majeurs de troubles du rythme par voie vasculaire	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K20	Autres traitements de troubles du rythme par voie vasculaire	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K21	Poses de bioprotheses de valves cardiaques par voie vasculaire	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G057	Catheterismes therapeutiques vasculaires et coronariens avec endoprothese ou protheses cardiaques	D06K05	D06K05G057
05K22	Actes therapeutiques par voie vasculaire sur les orifices du coeur, age superieur a 17 ans	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K23	Ablations, repositionnements et poses de sondes cardiaques supplementaires par voie vasculaire, age superieur a 17 ans	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K24	Dilatations coronaires et autres actes therapeutiques sur le coeur par voie vasculaire, age superieur a 17 ans	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K25	Actes therapeutiques sur les arteres par voie vasculaire, age superieur a 17 ans	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05K26	Actes therapeutiques sur les acces vasculaires ou les veines par voie vasculaire, age superieur a 17 ans	M	D06	Catheterismes vasculaires diagnostiques et interventionnels	K05	Catheterismes vasculaires diagnostiques et interventionnels	G058	Catheterismes therapeutiques vasculaires et coronariens sans endoprothese	D06K05	D06K05G058
05M04	Infarctus aigu du myocarde	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G066	Coronaropathies	D07X07	D07X07G066
05M05	Syncopes et lipothymies	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G070	Cardiologie autres	D07X07	D07X07G070
05M06	Angine de poitrine	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G066	Coronaropathies	D07X07	D07X07G066
05M07	Thrombophlebites veineuses profondes	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G075	Phlebites, varices et autres troubles vasculaires d'origine veineuse	D07X07	D07X07G075
05M08	Arythmies et troubles de la conduction cardiaque	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G069	Troubles du rythme/conduction	D07X07	D07X07G069
05M09	Insuffisances cardiaques et etats de choc circulatoire	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G065	Cardiopathies, valvulopathies	D07X07	D07X07G065
05M10	Cardiopathies congenitales et valvulopathies, age inferieur a 18 ans	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G065	Cardiopathies, valvulopathies	D07X07	D07X07G065
05M11	Cardiopathies congenitales et valvulopathies, age superieur a 17 ans	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G065	Cardiopathies, valvulopathies	D07X07	D07X07G065
05M12	Troubles vasculaires peripheriques	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G075	Phlebites, varices et autres troubles vasculaires d'origine veineuse	D07X07	D07X07G075
05M13	Douleurs thoraciques	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G070	Cardiologie autres	D07X07	D07X07G070
05M14	Arrêt cardiaque	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G065	Cardiopathies, valvulopathies	D07X07	D07X07G065
05M15	Hypertension arterielle	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G068	Hypertension arterielle	D07X07	D07X07G068
05M16	Atherosclerose coronarienne	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G066	Coronaropathies	D07X07	D07X07G066
05M17	Autres affections de l'appareil circulatoire	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G070	Cardiologie autres	D07X07	D07X07G070
05M18	Endocardites aiguës et subaiguës	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G067	Endocardites	D07X07	D07X07G067
05M19	Surveillances de greffes de coeur sans acte diagnostique par voie vasculaire	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G070	Cardiologie autres	D07X07	D07X07G070
05M20	Explorations et surveillance pour affections de l'appareil circulatoire	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G071	Explorations et surveillance pour affections de l'appareil circulatoire	D07X07	D07X07G071
05M21	Infarctus aigu du myocarde avec deces : sejours de moins de 2 jours	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G066	Coronaropathies	D07X07	D07X07G066
05M22	Autres affections de la CMD 05 avec deces : sejours de moins de 2 jours	M	D26	Activites inter specialites, suivi therapeutique d'affections connues	X24	Medecine inter specialites, Autres symptômes ou motifs medicaux	G181	Medecine inter specialites	D26X24	D26X24G181
05M23	Symptômes et autres recours aux soins de la CMD 05	M	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	X07	Affections Cardio-vasculaires	G070	Cardiologie autres	D07X07	D07X07G070
06C03	Resections rectales	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G002	Chirurgie digestive majeure 	D01C06	D01C06G002
06C04	Interventions majeures sur l'intestin grêle et le côlon	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G002	Chirurgie digestive majeure 	D01C06	D01C06G002
06C05	Interventions sur l'oesophage, l'estomac et le duodenum, age inferieur a 18 ans	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G001	Chirurgies digestives hautes	D01C06	D01C06G001
06C07	Interventions mineures sur l'intestin grêle et le côlon	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G006	Chirurgie mineure grêle/colon	D01C07	D01C07G006
06C08	Appendicectomies compliquees	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G003	Appendicectomies	D01C07	D01C07G003
06C09	Appendicectomies non compliquees	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G003	Appendicectomies	D01C07	D01C07G003
06C10	Interventions reparatrices pour hernies et eventrations, age inferieur a 18 ans	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G004	Hernies	D01C07	D01C07G004
06C12	Interventions reparatrices pour hernies inguinales et crurales, age superieur a 17 ans	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G004	Hernies	D01C07	D01C07G004
06C13	Liberations d'adherences peritoneales	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G008	Autres chirurgies digestives	D01C07	D01C07G008
06C14	Interventions sur le rectum et l'anus autres que les resections rectales	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G007	Chirurgies rectum/anus (hors resections)	D01C07	D01C07G007
06C15	Autres interventions sur le tube digestif en dehors des laparotomies	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G008	Autres chirurgies digestives	D01C07	D01C07G008
06C16	Interventions sur l'oesophage, l'estomac et le duodenum pour tumeurs malignes, age superieur a 17 ans	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G001	Chirurgies digestives hautes	D01C06	D01C06G001
06C19	Hemorroidectomies	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G007	Chirurgies rectum/anus (hors resections)	D01C07	D01C07G007
06C20	Interventions sur l'oesophage, l'estomac et le duodenum pour ulceres, age superieur a 17 ans	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G001	Chirurgies digestives hautes	D01C06	D01C06G001
06C21	Autres interventions sur le tube digestif par laparotomie	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G008	Autres chirurgies digestives	D01C07	D01C07G008
06C22	Interventions sur l'oesophage, l'estomac et le duodenum pour affections autres que malignes ou ulceres, age superieur a 17 ans	C	D01	Digestif	C06	Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum	G001	Chirurgies digestives hautes	D01C06	D01C06G001
06C23	Certaines interventions pour stomies	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G008	Autres chirurgies digestives	D01C07	D01C07G008
06C24	Cures d'eventrations postoperatoires, age superieur a 17 ans	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G004	Hernies	D01C07	D01C07G004
06C25	Interventions reparatrices pour hernies a l'exception des hernies inguinales, crurales, age superieur a 17 ans	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G004	Hernies	D01C07	D01C07G004
06K02	Endoscopies digestives therapeutiques et anesthesie : sejours de moins de 2 jours	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G213	Endoscopies digestives therapeutiques et anesthesie : sejours de moins de 2 jours	D01K02	D01K02G213
06K03	Sejours comprenant une endoscopie digestive therapeutique sans anesthesie, en ambulatoire	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G022	Endoscopies digestives avec ou sans anesthesie	D01K02	D01K02G022
06K04	Endoscopie digestive diagnostique et anesthesie, en ambulatoire	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G022	Endoscopies digestives avec ou sans anesthesie	D01K02	D01K02G022
06K05	Sejours comprenant une endoscopie digestive diagnostique sans anesthesie, en ambulatoire	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G022	Endoscopies digestives avec ou sans anesthesie	D01K02	D01K02G022
06K06	Affections digestives sans acte operatoire de la CMD 06, avec anesthesie, en ambulatoire	M	D01	Digestif	K01	Hepato-Gastro-Enterologie, sans acte operatoire, avec anesthesie	G214	Affections digestives sans acte operatoire de la CMD 06, avec anesthesie, en ambulatoire	D01K01	D01K01G214
06M02	Autres gastroenterites et maladies diverses du tube digestif, age inferieur a 18 ans	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G016	Autres gastroenterites et maladies diverses du tube digestif	D01X02	D01X02G016
06M03	Autres gastroenterites et maladies diverses du tube digestif, age superieur a 17 ans	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G016	Autres gastroenterites et maladies diverses du tube digestif	D01X02	D01X02G016
06M04	Hemorragies digestives	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G012	Ulceres, hemorragies digestives	D01X02	D01X02G012
06M05	Autres tumeurs malignes du tube digestif	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G011	Prise en charge medicale des tumeurs malignes du tube digestif	D01X02	D01X02G011
06M06	Occlusions intestinales non dues a une hernie	C	D01	Digestif	X02	Hepato-Gastro-Enterologie	G005	Occlusions, sub-occlusions digestives	D01X02	D01X02G005
06M07	Maladies inflammatoires de l'intestin	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G014	Maladies inflammatoires de l'intestin	D01X02	D01X02G014
06M08	Autres affections digestives, age inferieur a 18 ans	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G017	Autres affections digestives	D01X02	D01X02G017
06M09	Autres affections digestives, age superieur a 17 ans	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G017	Autres affections digestives	D01X02	D01X02G017
06M10	Ulceres gastroduodenaux compliques	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G012	Ulceres, hemorragies digestives	D01X02	D01X02G012
06M11	Ulceres gastroduodenaux non compliques	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G012	Ulceres, hemorragies digestives	D01X02	D01X02G012
06M12	Douleurs abdominales	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G021	Symptômes digestifs	D01X02	D01X02G021
06M13	Tumeurs malignes de l'oesophage et de l'estomac	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G011	Prise en charge medicale des tumeurs malignes du tube digestif	D01X02	D01X02G011
06M14	Invaginations intestinales aigües	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G015	Gastro-enterites et affections du tube digestif	D01X02	D01X02G015
06M15	Suivi de greffes de l'appareil digestif	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G013	Suivi de greffes digestives	D01X02	D01X02G013
06M16	Explorations et surveillance pour affections de l'appareil digestif	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G023	Explorations et surveillance pour affections de l'appareil digestif, du systeme hepatobiliaire et du pancreas	D01X02	D01X02G023
06M17	Soins de stomies digestives	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G015	Gastro-enterites et affections du tube digestif	D01X02	D01X02G015
06M18	Symptômes et autres recours aux soins de la CMD 06	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G021	Symptômes digestifs	D01X02	D01X02G021
06M19	Affections severes du tube digestif	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G015	Gastro-enterites et affections du tube digestif	D01X02	D01X02G015
06M20	Tumeurs benignes de l'appareil digestif	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G015	Gastro-enterites et affections du tube digestif	D01X02	D01X02G015
06M21	Autres affections digestives concernant majoritairement la petite enfance	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G017	Autres affections digestives	D01X02	D01X02G017
07C06	Interventions diagnostiques sur le systeme hepato-biliaire et pancreatique pour affections malignes	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C07	Interventions diagnostiques sur le systeme hepato-biliaire et pancreatique pour affections non malignes	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C08	Autres interventions sur le systeme hepato-biliaire et pancreatique	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C09	Interventions sur le foie, le pancreas et les veines porte ou cave pour tumeurs malignes	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C10	Interventions sur le foie, le pancreas et les veines porte ou cave pour affections non malignes	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C11	Derivations biliaires	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C12	Autres interventions sur les voies biliaires sauf cholecystectomies isolees	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G010	Autres chirurgies foie, pancreas, voies biliaires	D01C08	D01C08G010
07C13	Cholecystectomies sans exploration de la voie biliaire principale pour affections aigües	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G009	Cholecystectomies	D01C08	D01C08G009
07C14	Cholecystectomies sans exploration de la voie biliaire principale a l'exception des affections aigües	C	D01	Digestif	C08	Chir. hepato-biliaire et pancreatique	G009	Cholecystectomies	D01C08	D01C08G009
07K02	Endoscopies biliaires therapeutiques et anesthesie : sejours de moins de 2 jours	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G022	Endoscopies digestives avec ou sans anesthesie	D01K02	D01K02G022
07K04	Endoscopie biliaire diagnostique et anesthesie, en ambulatoire	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G022	Endoscopies digestives avec ou sans anesthesie	D01K02	D01K02G022
07K05	Sejours comprenant une endoscopie biliaire therapeutique ou diagnostique sans anesthesie, en ambulatoire	M	D01	Digestif	K02	Endoscopies digestives et biliaires avec ou sans anesthesie	G022	Endoscopies digestives avec ou sans anesthesie	D01K02	D01K02G022
07K06	Actes therapeutiques par voie vasculaire pour des affections malignes du systeme hepatobiliaire	M	D01	Digestif	K01	Hepato-Gastro-Enterologie, sans acte operatoire, avec anesthesie	G217	Activite interventionnelle en Hepato-Gastro-Enterologie 	D01K01	D01K01G217
07M02	Affections des voies biliaires	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G020	Autres affections hepatiques, voies biliaires	D01X02	D01X02G020
07M04	Autres affections hepatiques	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G020	Autres affections hepatiques, voies biliaires	D01X02	D01X02G020
07M06	Affections malignes du systeme hepato-biliaire ou du pancreas	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G019	Affections hepatiques severes et affections du pancreas	D01X02	D01X02G019
07M07	Cirrhoses alcooliques	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G018	Hepatites, cirrhoses	D01X02	D01X02G018
07M08	Autres cirrhoses et fibrose hepatique	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G018	Hepatites, cirrhoses	D01X02	D01X02G018
07M09	Hepatites chroniques	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G018	Hepatites, cirrhoses	D01X02	D01X02G018
07M10	Pancreatites aigües	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G019	Affections hepatiques severes et affections du pancreas	D01X02	D01X02G019
07M11	Autres affections non malignes du pancreas	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G019	Affections hepatiques severes et affections du pancreas	D01X02	D01X02G019
07M12	Suivis de greffe de foie et de pancreas	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G013	Suivi de greffes digestives	D01X02	D01X02G013
07M13	Explorations et surveillance des affections du systeme hepatobiliaire et du pancreas	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G023	Explorations et surveillance pour affections de l'appareil digestif, du systeme hepatobiliaire et du pancreas	D01X02	D01X02G023
07M14	Symptômes et autres recours aux soins de la CMD 07	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G021	Symptômes digestifs	D01X02	D01X02G021
07M15	Affections hepatiques severes a l'exception des tumeurs malignes, des cirrhoses et des hepatites alcooliques	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G019	Affections hepatiques severes et affections du pancreas	D01X02	D01X02G019
07M16	Icteres du nouveau-ne	M	D01	Digestif	X02	Hepato-Gastro-Enterologie	G020	Autres affections hepatiques, voies biliaires	D01X02	D01X02G020
08C02	Interventions majeures multiples sur les genoux et/ou les hanches	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C04	Interventions sur la hanche et le femur, age inferieur a 18 ans	C	D02	Orthopedie traumatologie	C09	Chir. majeure de l'app. Locomoteur:  hanche, femur, genou, epaule	G024	Chirurgies majeures orthopediques (dont hanche et femur genou)	D02C09	D02C09G024
08C06	Amputations pour affections de l'appareil musculosquelettique et du tissu conjonctif	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G028	Amputations	D02C11	D02C11G028
08C12	Biopsies osteoarticulaires	C	D02	Orthopedie traumatologie	C10	Arthroscopies, Biopsies osteo-articulaires	G025	Arthroscopies, Biopsies osteo-articulaires	D02C10	D02C10G025
08C13	Resections osseuses localisees et/ou ablation de materiel de fixation interne au niveau de la hanche et du femur	C	D02	Orthopedie traumatologie	C11	Chirurgies autres de l'appareil locomoteur, amputations	G027	Ablations materiel	D02C11	D02C11G027
