ACTES	LIBELLE
JAFA007	Résection de kyste non parasitaire du rein, par lombotomie
JAFA004	Résection de kyste parasitaire du rein, par lombotomie
JAFC005	Néphrectomie partielle, par c oelioscopie ou par rétropéritonéoscopie
JAFA030	Néphrectomie partielle sans dissection du pédicule vasculaire, par laparotomie
JAFA024	Néphrectomie partielle sans dissection du pédicule vasculaire, par lombotomie ou par abord lombal vertical
JAFA019	Néphrectomie partielle avec dissection du pédicule vasculaire, par laparotomie
JAFA008	Néphrectomie partielle avec dissection du pédicule vasculaire, par lombotomie ou par abord lombal postérieur
JAFA006	Néphrectomie partielle ex situ avec autotransplantation du rein, par abord direct
JAFC002	Héminéphrectomie avec urétérectomie partielle, par c oelioscopie ou par rétropéritonéoscopie
JAFA001	Héminéphrectomie avec urétérectomie partielle, par abord direct
JAFC007	Héminéphrectomie avec urétérectomie totale, par c oelioscopie ou par rétropéritonéoscopie
JAFA003	Héminéphrectomie avec urétérectomie totale, par abord direct
JAFA026	Héminéphrectomie pour fusion rénale, par abord direct
JAFC006	Néphrectomie totale unilatérale, par c oelioscopie ou par rétropéritonéoscopie
JAFA023	Néphrectomie totale unilatérale, par laparotomie
JAFA010	Néphrectomie totale unilatérale, par abord lombal vertical
JAFA002	Néphrectomie totale, par lombotomie
JAFA012	Néphrectomie totale par laparotomie, avec extraction endoscopique rétrograde de l uretère [stripping de l uretère]
JAFC001	Néphro-urétérectomie totale, par c oelioscopie ou par rétropéritonéoscopie
JAFA032	Néphro-urétérectomie totale, par abord direct
JAFC004	Binéphrectomie, par c oelioscopie ou par rétropéritonéoscopie
JAFA016	Binéphrectomie, par laparotomie
JAFA027	Binéphrectomie, par abords lombaux verticaux
JAFA031	Néphrectomie totale élargie à la loge rénale, par thoraco-phréno-laparotomie
JAFC019	Néphrectomie totale élargie à la loge rénale, par c oelioscopie ou rétropéritonéoscopie
JAFA009	Néphrectomie totale élargie à la loge rénale, par laparotomie ou par abord lomboabdominal
JAFA022	Néphrectomie totale élargie à la loge rénale avec thrombectomie par cavotomie, par thoraco-phréno-laparotomie
JAFA014	Néphrectomie totale élargie à la loge rénale avec thrombectomie par cavotomie, par laparotomie ou par abord lomboabdominal
JAFA021	Néphrectomie totale élargie à la loge rénale avec surrénalectomie, par thoraco-phréno-laparotomie
JAFC010	Néphrectomie totale élargie à la loge rénale avec surrénalectomie, par c oelioscopie ou rétropéritonéoscopie
JAFA029	Néphrectomie totale élargie à la loge rénale avec surrénalectomie, par laparotomie ou par abord lomboabdominal
JAFA025	Néphrectomie totale élargie à la loge rénale avec surrénalectomie et thrombectomie par cavotomie, par thoraco-phréno-laparotomie
JAFA028	Néphrectomie totale élargie à la loge rénale avec surrénalectomie et thrombectomie par cavotomie, par laparotomie ou par abord lomboabdominal
JAFA011	Néphrectomie totale élargie à la loge rénale avec thrombectomie par cavotomie et contrôle intraatrial cardiaque, par thoraco-phréno-laparotomie
JAFA005	Néphrectomie totale élargie à la loge rénale avec résection latérale de la veine cave inférieure, par abord direct
JCFD001	Exérèse de tumeur de l uretère lombal, par une néphrostomie déjà en place
JCFF001	Exérèse de tumeur de l uretère lombal, par voie transcutanée
JCFE001	Exérèse de tumeur de l uretère lombal, par urétéroscopie rétrograde
JCFE003	Exérèse de tumeur de l uretère iliaque, par urétéroscopie rétrograde
JCFE002	Exérèse de tumeur de l uretère pelvien, par urétéroscopie rétrograde
JCFA002	Urétérectomie segmentaire lombo-iliaque avec rétablissement de la continuité de l uretère, par abord direct
JCFA003	Urétérectomie segmentaire pelvienne avec rétablissement de la continuité de l uretère, par abord direct
JCFA009	Urétérectomie segmentaire pelvienne avec réimplantation urétérovésicale, par abord direct
JCFA008	Urétérectomie segmentaire pelvienne avec réimplantation urétérovésicale et montage antireflux, par abord direct
JCFA010	Urétérectomie segmentaire pelvienne avec réimplantation urétérovésicale et plastie de la vessie par mobilisation [vessie psoïque] ou allongement par lambeau pédiculé, par abord direct
JCPA003	Section-anastomose d un uretère rétrocave, par abord direct
JCFA005	Résection longitudinale modelante dun méga-uretère avec réimplantation urétérovésicale et montage antireflux, par abord direct
JCFA007	Exérèse d une urétérocèle avec réimplantation urétérovésicale homolatérale, par abord direct
JCFA004	Exérèse d une urétérocèle avec réimplantation urétérovésicale, héminéphrectomie et urétérectomie totale homolatérales, par abord direct
JCFA006	Exérèse unilatérale d une urétérocèle avec réimplantation urétérovésicale bilatérale, par abord direct
JCFC001	Urétérectomie totale, par c oelioscopie ou par rétropéritonéoscopie
JCFA001	Urétérectomie totale, par abord direct
JCPD001	Reperméation de l uretère par forage intraluminal
JCPC002	Libération de l uretère sans intrapéritonisation, par c oelioscopie ou par rétropéritonéoscopie
JCPA002	Libération de l uretère sans intrapéritonisation, par abord direct
JCPC001	Libération de l uretère avec intrapéritonisation ou lambeau péritonéal, par c oelioscopie ou par rétropéritonéoscopie
JCPA001	Libération de l uretère avec intrapéritonisation ou lambeau péritonéal, par abord direct
JCPE002	Incision du méat urétéral, par endoscopie
JCPE001	Incision d une urétérocèle, par endoscopie
JDFE002	Résection de 1 à 3 tumeurs de la vessie, par endoscopie
JDFE001	Résection de 4 tumeurs de la vessie ou plus, par endoscopie
JDFC001	Exérèse de diverticule de la vessie, par c oelioscopie
JDFA002	Exérèse de diverticule de la vessie, par laparotomie
JDFC023	Cystectomie partielle, par c oelioscopie
JDFA011	Cystectomie partielle, par laparotomie
JDFA014	Cystectomie partielle avec implantation de matériel pour irradiation interstitielle de la vessie, par laparotomie
JDFA017	Cystectomie partielle avec réimplantation urétérovésicale, par laparotomie
JDFA004	Cystectomie supratrigonale avec entérocystoplastie détubulée d agrandissement, par laparotomie
JDFA015	Cystectomie supratrigonale avec entérocystoplastie détubulée d agrandissement et réimplantation urétérovésicale, par laparotomie
JDFA005	Cystectomie totale, par laparotomie
JDFA001	Cystectomie totale avec urétérostomie cutanée, par laparotomie
JDFA008	Cystectomie totale avec urétérostomie cutanée transintestinale par anse non détubulée, par laparotomie
JDFA003	Cystectomie totale avec urétérostomie cutanée transintestinale par anse détubulée continente, par laparotomie
JDFA009	Cystectomie totale avec anastomose urétérocolique directe, par laparotomie
JDFA006	Cystectomie totale avec anastomose urétérocolique et confection d un réservoir détubulé rectosigmoïdien ou iléo-recto-sigmoïdien, par laparotomie
JDFA016	Cystectomie totale avec entérocystoplastie de remplacement [néovessie] orthotopique par anse détubulée, par laparotomie
JDFA007	Résection d un kyste ou d une fistule du ligament ombilical médian [ouraque]
JDFA012	Exérèse de la plaque d une exstrophie vésicale avec dérivation urinaire, sans ostéotomie du bassin
JDFA013	Exérèse de la plaque d une exstrophie vésicale avec dérivation urinaire et cure unilatérale ou bilatérale de hernie de l aine, sans ostéotomie du bassin
JDFA010	Exérèse de la plaque d une exstrophie vésicale avec dérivation urinaire, avec ostéotomie du bassin
JDFE003	Résection du col de la vessie, par endoscopie
JDFA018	Résection ou incision du col de la vessie, par abord direct
JDFA024	Vésiculo-prostato-cystectomie totale, par laparotomie
JDFA023	Vésiculo-prostato-cystectomie totale avec urétérostomie cutanée, par laparotomie
JDFA025	Vésiculo-prostato-cystectomie totale avec urétérostomie cutanée transintestinale par anse non détubulée, par laparotomie
JDFA020	Vésiculo-prostato-cystectomie totale avec urétérostomie cutanée transintestinale par anse détubulée continente, par laparotomie
JDFA019	Vésiculo-prostato-cystectomie totale avec anastomose urétérocolique directe, par laparotomie
JDFA022	Vésiculo-prostato-cystectomie totale avec anastomose urétérocolique et confection d un réservoir détubulé rectosigmoïdien ou iléo-recto-sigmoïdien, par laparotomie
JDFA021	Vésiculo-prostato-cystectomie totale avec entérocystoplastie de remplacement [néovessie] orthotopique par anse détubulée, par laparotomie
JKFE001	Exérèse de polype de l utérus, par hystéroscopie
JKFE002	Résection de myome de l utérus, par hystéroscopie
JKFC004	Myomectomie de l utérus sans hystérotomie, par c oelioscopie
JKFC001	Myomectomie de l utérus avec hystérotomie, par c oelioscopie
JKFA033	Myomectomie de l utérus, par abord vaginal
JKFA016	Myomectomie unique de l utérus, par laparotomie
JKFA022	Myomectomie multiple de l utérus, par laparotomie
JKFD001	Exérèse de lésion pédiculée de l utérus accouchée par le col, par voie vaginale
JKFD002	Exérèse de lésion du col de l utérus, par voie vaginale
JKFE003	Exérèse de lésion du col de l utérus, par colposcopie
JKFA031	Conisation du col de l utérus
JKFA008	Trachélectomie [Cervicectomie] [Amputation du col de l utérus], par abord vaginal
JKFA011	Trachélectomie sur col restant de l utérus, par abord vaginal
JKFA009	Trachélectomie sur col restant de l utérus, par laparotomie
JKFA030	Colpotrachélectomie [Colpocervicectomie] élargie aux paramètres, par abord vaginal
JKFA019	Colpotrachélectomie [Colpocervicectomie] élargie aux paramètres, par laparotomie
JKFA003	Exérèse d un hémiutérus malformé [Hémihystérectomie], par laparotomie
JKFC002	Hystérectomie subtotale, par c oelioscopie
JKFA024	Hystérectomie subtotale, par laparotomie
JKFA014	Hystérectomie subtotale avec suspension postérieure du col de l utérus [colposuspension], par laparotomie
JKFA012	Hystérectomie subtotale avec suspension postérieure du col de l utérus [colposuspension] et cervicocystopexie indirecte au ligament pectinéal [de Cooper], par laparotomie
JKFC006	Hystérectomie subtotale avec annexectomie unilatérale ou bilatérale, par c oelioscopie
JKFA032	Hystérectomie subtotale avec annexectomie unilatérale ou bilatérale, par laparotomie
JKFA001	Hystérectomie subtotale avec annexectomie unilatérale ou bilatérale et suspension postérieure du col de l utérus [colposuspension], par laparotomie
JKFA029	Hystérectomie subtotale avec annexectomie unilatérale ou bilatérale, suspension postérieure du col de l utérus [colposuspension] et cervicocystopexie indirecte au ligament pectinéal [de Cooper], par laparotomie
JKFC005	Hystérectomie totale, par c oelioscopie
JKFA018	Hystérectomie totale, par c oelioscopie et par abord vaginal
JKFA026	Hystérectomie totale, par abord vaginal
JKFA015	Hystérectomie totale, par laparotomie
JKFA025	Hystérectomie totale avec colpopérinéorraphie antérieure ou postérieure, par abord vaginal
JKFA002	Hystérectomie totale avec colpopérinéorraphies antérieure et postérieure, par abord vaginal
JKFA013	Hystérectomie totale avec suspension postérieure du dôme du vagin, par laparotomie
JKFC003	Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par c oelioscopie
JKFA006	Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par c oelioscopie et par abord vaginal
JKFA005	Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par abord vaginal
JKFA028	Hystérectomie totale avec annexectomie unilatérale ou bilatérale, par laparotomie
JKFA021	Hystérectomie totale avec annexectomie unilatérale ou bilatérale et colpopérinéorraphie antérieure ou postérieure, par abord vaginal
JKFA007	Hystérectomie totale avec annexectomie unilatérale ou bilatérale et colpopérinéorraphies antérieure et postérieure, par abord vaginal
JKFA004	Hystérectomie totale avec annexectomie unilatérale ou bilatérale et suspension postérieure du dôme du vagin, par laparotomie
JKFA020	Colpohystérectomie totale élargie aux paramètres, par c oelioscopie et par abord vaginal
JKFA023	Colpohystérectomie totale élargie aux paramètres, par abord vaginal
JKFA027	Colpohystérectomie totale élargie aux paramètres, par laparotomie
JFFA006	Exérèse de lésion de l espace rétropéritonéal sans dissection des gros vaisseaux, par thoraco-phréno-laparotomie
JFFC002	Exérèse de lésion de l espace rétropéritonéal, par c oelioscopie ou par rétropéritonéoscopie
JFFA010	Exérèse de lésion de l espace rétropéritonéal sans dissection des gros vaisseaux, par laparotomie ou par lombotomie
JFFA021	Exérèse de lésion de l espace rétropéritonéal avec dissection des gros vaisseaux, par abord direct
JFFC001	Exérèse de lésion endométriosique de la cloison rectovaginale, par c oelioscopie
JFFA012	Exérèse de lésion endométriosique de la cloison rectovaginale, par abord vaginal
JFFA014	Exérèse de lésion endométriosique de la cloison rectovaginale, par laparotomie
JFFA007	Exérèse d une lipomatose pelvienne, par laparotomie
JFFA020	Exérèse d un tératome sacrococcygien de moins de 10 cm de diamètre, par abord transsacrococcygien [de Kraske]
JFFA017	Exérèse d un tératome sacrococcygien de plus de 10 cm de diamètre, par abord transsacrococcygien [de Kraske]
JFFA015	Exérèse d un tératome sacrococcygien, par laparotomie et par abord transsacrococcygien [de Kraske]
JFFA018	Pelvectomie antérieure, par laparotomie
JFFA001	Pelvectomie antérieure avec urétérostomie cutanée, par laparotomie
JFFA003	Pelvectomie antérieure avec urétérostomie cutanée transintestinale par anse non détubulée, par laparotomie
JFFA016	Pelvectomie antérieure avec urétérostomie cutanée transintestinale par anse détubulée continente, par laparotomie
JFFA009	Pelvectomie antérieure avec anastomose urétérocolique directe, par laparotomie
JFFA019	Pelvectomie antérieure avec anastomose urétérocolique et confection d un réservoir détubulé rectosigmoïdien ou iléo-recto-sigmoïdien, par laparotomie
JFFA022	Pelvectomie antérieure avec entérocystoplastie de remplacement [néovessie] orthotopique par anse détubulée, par laparotomie
JFFA005	Pelvectomie postérieure sans rétablissement de la continuité digestive, par laparotomie
JFFA004	Pelvectomie postérieure sans rétablissement de la continuité digestive, par laparotomie et par abord périnéal
JFFA002	Pelvectomie postérieure avec rétablissement de la continuité digestive, par laparotomie
JFFA008	Pelvectomie totale avec urétérostomie cutanée, par laparotomie et par abord périnéal
JFFA011	Pelvectomie totale avec urétérostomie cutanée transintestinale par anse non détubulée, par laparotomie et par abord périnéal
JFFA013	Pelvectomie totale avec urétérostomie cutanée transintestinale par anse détubulée continente, par laparotomie et par abord périnéal
LBMP003	Réalisation de moulage d étude des arcades dentaires
LBMP001	Simulation des objectifs thérapeutiques sur moulages des arcades dentaires et/ou sur logiciel
LBMP002	Montage directeur sur moulage d étude des arcades dentaires
LBGD001	Ablation de moyen de contention maxillaire et/ou mandibulaire intrabuccal
LBPA028	Ostéotomie maxillaire de type Le Fort I pour séquelle d une fente orofaciale, par abord intrabuccal
LBPA024	Ostéotomie d un segment du maxillaire pour correction d une malposition fragmentaire séquellaire d une fente orofaciale, par abord intrabuccal
LBPA027	Ostéotomie maxillaire totale basse préimplantaire ou préprothétique avec interposition, par abord intrabuccal
LBPA029	Ostéotomie maxillaire type Le Fort I non segmentée avec avancée, par abord intrabuccal
LBPA015	Ostéotomie maxillaire type Le Fort I non segmentée avec recul ou déplacement vertical, par abord intrabuccal
LBPA035	Ostéotomie maxillaire type Le Fort I segmentée en 2 fragments, par abord intrabuccal
LBPA006	Ostéotomie maxillaire type Le Fort I segmentée en 3 fragments ou plus, par abord intrabuccal
LBPA022	Ostéotomie maxillaire type hémi-Le Fort I, par abord intrabuccal
LBPA017	Ostéotomie maxillaire d élévation sans mobilisation du palais, par abord intrabuccal
LBPA031	Ostéotomie maxillaire segmentaire antérieure, par abord intrabuccal
LBPA009	Ostéotomie maxillaire segmentaire postérieure unilatérale, par abord intrabuccal
LBPA008	Ostéotomie maxillaire segmentaire postérieure bilatérale, par abord intrabuccal
LBPA012	Ostéotomie maxillaire interalvéolaire [Corticotomie alvéolodentaire] unique ou multiple, par abord intrabuccal
LBPA032	Ostéotomie sagittale intermaxillaire sans pose d un disjoncteur fixe, par abord intrabuccal
LBPA043	Ostéotomie sagittale intermaxillaire avec pose d un disjoncteur fixe, par abord intrabuccal
LBPA010	Ostéotomie maxillozygomatique sans mobilisation de la pyramide nasale, par abord direct
LBPA038	Ostéotomie maxillonasale type Le Fort II, par abord direct
LBFA006	Maxillectomie supérieure sans reconstruction
LBFA011	Maxillectomie supérieure, avec reconstruction du plancher de l orbite par lambeau de septum nasal
LBFA033	Maxillectomie moyenne
LBFA024	Maxillectomie inférieure
LBFA005	Maxillectomie totale sans reconstruction
LBFA007	Maxillectomie totale, avec reconstruction du plancher de l orbite par lambeau de septum nasal
LBFA023	Exérèse de lésion de l os maxillaire et/ou du corps de la mandibule de moins de 2 cm de grand axe, par abord intrabuccal
LBFA030	Exérèse de lésion de l os maxillaire et/ou du corps de la mandibule de 2 cm à 4 cm de grand axe, par abord intrabuccal
LBFA002	Exérèse de lésion de l os maxillaire et/ou du corps de la mandibule de plus de 4 cm de grand axe, par abord intrabuccal
LBFA028	Exérèse d un quadrant de la voûte palatine, par abord direct
LBFA014	Exérèse d une hémivoûte palatine, par abord direct
LBFA001	Exérèse de la totalité de la voûte palatine, par abord direct
LBPA034	Ostéotomie segmentaire antérieure préimplantaire ou préprothétique de la mandibule avec interposition, par abord intrabuccal
LBPA030	Ostéotomie verticale rétrolingulaire [rétrospigienne] du ramus de la mandibule, par abord intrabuccal
LBPA007	Ostéotomie verticale rétrolingulaire [rétrospigienne] du ramus de la mandibule, par abord facial
LBPA021	Ostéotomie sagittale unilatérale du ramus de la mandibule [supralingulaire et préangulaire], par abord intrabuccal
LBPA042	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], par abord intrabuccal
LBPA004	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire d avancée type Le Fort I non segmentée, par abord intrabuccal
LBPA040	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire d avancée type Le Fort I non segmentée et ostéotomie de transposition du menton osseux, par abord intrabuccal
LBPA023	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire type Le Fort I segmentée en 2 fragments, par abord intrabuccal
LBPA011	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire type Le Fort I segmentée en 2 fragments et transposition du menton osseux, par abord intrabuccal
LBPA020	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire type Le Fort I segmentée en 3 fragments ou plus, par abord intrabuccal
LBPA033	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire type Le Fort I segmentée en 3 fragments ou plus et transposition du menton osseux, par abord intrabuccal
LBPA019	Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie segmentaire alvéolaire de la mandibule en avant des trous mentonniers, par abord intrabuccal
LBPA041	Ostéotomie angulaire ou préangulaire de la mandibule, par abord facial
LBPA014	Ostéotomie interruptrice du corps de la mandibule, en arrière du trou mentonnier, par abord intrabuccal
LBPA005	Ostéotomie interruptrice du corps de la mandibule, en avant du trou mentonnier, par abord intrabuccal
LBPA037	Ostéotomie interruptrice de la symphyse mandibulaire, par abord intrabuccal
LBPA002	Ostéotomie sagittale du corps de la mandibule, par abord intrabuccal
LBPA016	Ostéotomie segmentaire alvéolaire de la mandibule en arrière du trou mentonnier, par abord intrabuccal
LBPA026	Ostéotomie segmentaire alvéolaire de la mandibule en avant des trous mentonniers, par abord intrabuccal
LBPA039	Ostéotomie segmentaire alvéolaire de la mandibule en avant des trous mentonniers, avec ostéotomie de transposition du menton osseux, par abord intrabuccal
LBPA036	Ostéotomie segmentaire alvéolaire de la mandibule en avant des trous mentonniers, avec ostéotomie maxillaire segmentaire antérieure, par abord intrabuccal
LBPA018	Ostéotomie sousalvéolaire totale de la mandibule, par abord intrabuccal
LBPA013	Ostéotomie de transposition du menton osseux, par abord intrabuccal
LBPA001	Ostéotomie d antépositionnement des épines mentonnières [apophyses geni] de la mandibule, par abord intrabuccal
LBPA025	Ostéotomie de la mandibule pour cal vicieux, par abord direct
LBGA005	Évidement de la mandibule, par abord intrabuccal
LBFA015	Exérèse de lésion du ramus de la mandibule, par abord intrabuccal
LBFA018	Résection modelante de la mandibule, par abord intrabuccal
LBFA010	Résection modelante du menton, par abord intrabuccal
LBFA008	Résection non interruptrice extracondylaire de la mandibule, par abord direct
LBFA029	Résection interruptrice segmentaire antérieure du corps de la mandibule par abord direct, sans pose de dispositif intrafocal de contention ni comblement
LBFA020	Résection interruptrice segmentaire antérieure du corps de la mandibule par abord direct, avec pose de dispositif intrafocal de contention, sans comblement
LBFA009	Résection interruptrice segmentaire antérieure du corps de la mandibule avec comblement, par abord direct
LBFA004	Résection de la mandibule pour pseudarthrose avec comblement par autogreffe osseuse, par abord direct
LBFA036	Résection interruptrice extracondylaire segmentaire latérale de la mandibule par abord direct, sans pose de dispositif intrafocal de contention ni comblement
LBFA027	Résection interruptrice extracondylaire segmentaire latérale de la mandibule par abord direct, avec pose de dispositif intrafocal de contention, sans comblement
LBFA017	Résection interruptrice extracondylaire segmentaire latérale de la mandibule avec comblement, par abord direct
LBFA034	Résection interruptrice latéroterminale de la mandibule par abord direct, sans pose de dispositif latéroterminal ni comblement
LBFA037	Résection interruptrice latéroterminale de la mandibule par abord direct, avec pose de dispositif latéroterminal de contention, sans comblement
LBFA039	Résection interruptrice latéroterminale de la mandibule par abord direct, avec comblement par autogreffe chondrocostale
LBFA026	Résection interruptrice du processus condylaire de la mandibule par abord direct, sans pose de dispositif terminal ni comblement
LBFA022	Résection interruptrice du processus condylaire de la mandibule par abord direct, avec pose de dispositif terminal, sans comblement
LBFA038	Résection interruptrice du processus condylaire de la mandibule par abord direct, avec comblement par autogreffe chondrocostale
LBPA003	Décortication de la mandibule, par abord intrabuccal
LBMA002	Reconstruction du ramus de la mandibule par autogreffe ostéochondrale pour syndrome malformatif, par abord direct
LBGA004	Ablation d un implant intraosseux intrabuccal avec résection osseuse
LBGA003	Ablation de 2 implants intraosseux intrabuccaux ou d un implant-lame avec résection osseuse
LBGA002	Ablation de 3 implants intraosseux intrabuccaux avec résection osseuse
LBGA006	Ablation de 4 implants intraosseux intrabuccaux avec résection osseuse
LBGA007	Ablation de 5 implants intraosseux intrabuccaux avec résection osseuse
LBGA008	Ablation de 6 implants intraosseux intrabuccaux avec résection osseuse
LBGA009	Ablation de 7 implants intraosseux intrabuccaux ou plus, avec résection osseuse
LBFA031	Résection d hypertrophie osseuse intrabuccale
LBFA032	Éminencectomie [Condyloplastie temporale] ou création de butée temporomandibulaire
LBFA025	Coronoïdectomie mandibulaire, par abord intrabuccal
LBFA003	Résection partielle de la tête du condyle de la mandibule, par abord facial
LBMA006	Condyloplastie mandibulaire, par arthrotomie
LBMA001	Reconstruction de l articulation temporomandibulaire par prothèse
LBMA004	Reconstruction du condyle de la mandibule par greffe ostéochondrale
LBFA013	Discectomie temporomandibulaire, par arthrotomie
LBMA003	Reconstruction discale temporomandibulaire, par arthrotomie
LBFA019	Résection de bloc d ankylose temporomandibulaire latérale, par abord direct
LBFA035	Résection d un bloc d ankylose temporomandibulaire complète, par abord direct
LBFA016	Résection d un bloc d ankylose temporomandibulaire complète avec reconstruction de l articulation par prothèse, par abord direct
LBFA012	Résection d un bloc d ankylose temporomandibulaire complète avec reconstruction du condyle de la mandibule par greffe ostéochondrale, par abord direct
LCPA001	Libération d une rétraction des tissus mous de la région masticatrice, par abord direct
LMFA003	Exérèse d un bourgeon ombilical
LMFA001	Exérèse de tumeur de la paroi abdominale antérieure avec fermeture par suture, par abord direct
LMFA002	Exérèse de tumeur de la paroi abdominale antérieure avec fermeture par prothèse, par abord direct
QZFA038	Excision de lésion infectieuse diffuse de la peau et des tissus mous sur moins de 50 cm²
QZFA023	Excision de lésion infectieuse diffuse de la peau et des tissus mous sur 50 cm² à 200 cm²
QZFA028	Exérèse tangentielle de 1 à 5 lésions cutanées
QZFA021	Exérèse tangentielle de 6 lésions cutanées ou plus
QZFA010	Exérèse tangentielle de 1 à 20 molluscum contagiosum
QZFA015	Exérèse tangentielle de 21 molluscum contagiosum ou plus
QZFA013	Exérèse de 1 à 5 lésions cutanées, par curetage
QZFA022	Exérèse de 6 lésions cutanées ou plus, par curetage
QZFA036	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de moins de 5 cm²
QZFA031	Exérèse de lésion superficielle de la peau par excision de 2 à 5 zones cutanées de moins de 5 cm²
QZFA003	Exérèse de lésion superficielle de la peau par excision de 6 zones cutanées ou plus de moins de 5 cm²
QZFA004	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de 5 cm² à 10 cm²
QZFA011	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de 10 cm² à 50 cm²
QZFA035	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de 50 cm² à 200 cm²
QZFA030	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de plus de 200 cm²
QZFA008	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de moins de 5 cm², par technique chimiochirurgicale [technique de Mohs]
QZFA033	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de 5 cm² à 10 cm², par technique chimiochirurgicale [technique de Mohs]
QZFA026	Exérèse de lésion superficielle de la peau par excision d une zone cutanée de plus de 10 cm², par technique chimiochirurgicale [technique de Mohs]
QZFA002	Exérèse d une lésion souscutanée susfasciale de moins de 3 cm de grand axe
QZFA001	Exérèse de 2 à 5 lésions souscutanées susfasciales de moins de 3 cm de grand axe
QZFA005	Exérèse de 6 lésions souscutanées susfasciales ou plus de moins de 3 cm de grand axe
QZFA007	Exérèse de lésion souscutanée susfasciale de 3 cm à 10 cm de grand axe
QZFA024	Exérèse de lésion souscutanée susfasciale de plus de 10 cm de grand axe
QZMA004	Réparation de perte de substance par lambeau local ou régional cutané, fascial, fasciocutané, septocutané, musculaire ou musculocutané, à pédicule vasculaire ou vasculonerveux anatomique, en dehors de l extrémité céphalique
QZMA005	Réparation de perte de substance par lambeau local ou régional cutané, fasciocutané ou ostéocutané, à pédicule vasculaire ou vasculonerveux anatomique, disséqué en îlot
QZMA007	Réparation de perte de substance par lambeau local ou régional musculaire ou musculocutané, à pédicule vasculaire ou vasculonerveux anatomique, disséqué en îlot
QZMA003	Réparation de perte de substance par lambeau à distance cutané, fasciocutané ou musculocutané, à pédicule transitoire
QZMA009	Réparation de perte de substance par lambeau à distance cutané, fasciocutané, musculaire, musculocutané ou ostéo-musculo-cutané, à pédicule définitif
QAMA015	Réparation de perte de substance du cuir chevelu par lambeau pédiculé
QAMA003	Réparation de perte de substance de l extrémité céphalique par lambeau frontal à pédicule inférieur
QAMA008	Réparation de perte de substance de l extrémité céphalique par lambeau scalpant
QAMA005	Réparation de perte de substance de l extrémité céphalique par lambeau de fascia temporal
QAMA004	Réparation de perte de substance de l extrémité céphalique par lambeau de fascia temporal avec autogreffe de peau
QAMA013	Réparation de perte de substance de l extrémité céphalique par lambeau musculaire ou musculocutané
QAMA012	Réparation de perte de substance de l extrémité céphalique par lambeau de muscle temporal avec autogreffe de peau
QZPA008	Autonomisation d un lambeau
QZPA004	Section du pédicule dun lambeau à distance
QZMA006	Modelage secondaire d un lambeau
QZMA002	Révision dun lambeau libre pour ischémie, sans réfection des anastomoses vasculaires
QZMA010	Réfection des anastomoses vasculaires dun lambeau libre pour ischémie
QZFA014	Dermolipectomie des membres
QZMP002	Confection d un conformateur de pressothérapie d une cicatrice vicieuse et/ou chéloïde
QZMP001	Couverture du lit de l ongle par reposition de la tablette ou pose de prothèse provisoire
QZFA020	Exérèse partielle ou totale de la tablette d un ongle
QZFA039	Exérèse partielle de l appareil unguéal
QZFA029	Exérèse totale de l appareil unguéal
QZFA032	Exérèse de l appareil unguéal, avec réparation par autogreffe de peau totale
QZFA009	Exérèse de l appareil unguéal, avec réparation par lambeau pédiculé unguéomatriciel
QZPA002	Escarrotomie de décharge sur 1 site
QZPA001	Escarrotomie de décharge sur 2 sites
QZPA005	Escarrotomie de décharge sur 3 sites
QZPA007	Escarrotomie de décharge sur 4 sites
QZPA006	Escarrotomie de décharge sur 5 sites
QZPA003	Escarrotomie de décharge sur 6 sites
QEFA004	Tumorectomie du sein
QEFA001	Tumorectomie du sein avec curage lymphonodal axillaire
QEFA017	Mastectomie partielle
QEFA008	Mastectomie partielle avec curage lymphonodal axillaire
QEFA016	Exérèse de conduit lactifère [Exérèse de canal galactophore] [Pyramidectomie mammaire]
QEFA007	Mastectomie souscutanée avec exérèse de la plaque aréolomamelonnaire
