ACTE	ORGANE	TYPE	CONDITIONS	LIBELLE	OBJ	GM
BGMA002	OPHTALMOLOGIE	Chirurgie sur la chambre post. et retine		Opération rétinovitréenne associant au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation avec laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides, rétinectomie 	30	N
BGPA002	OPHTALMOLOGIE	Chirurgie sur la chambre post. et retine		Dissection de la membrane épirétinienne et/ou de la membrane vitrée [hyaloïde] 	75	N
BGFA005	OPHTALMOLOGIE	Chirurgie sur la chambre post. et retine		Vitrectomie par sclérotomie postérieure, avec dissection du cortex vitréen [pelage] et tamponnement interne par gaz 	50	N
JJFC003	GYNECOLOGIE	Chirurgie des ovaires & annexes		Kystectomie ovarienne intrapéritonéale, par cœlioscopie 	50	N
CBMA009	GYNECOLOGIE	Chirurgie des ovaires & annexes		Salpingoovariectomie [Annexectomie], par cœlioscopie 	50	N
JJFC001	GYNECOLOGIE	Chirurgie des ovaires & annexes		Salpingectomie partielle ou totale pour grossesse extra-utérine, par cœlioscopie	50	N
LFAA002	GYNECOLOGIE	Chirurgie du sein-tumorectomie		Mastectomie totale avec conservation des pectoraux et curage lymphonodal axillaire	20	N
QEFA017	GYNECOLOGIE	Chirurgie du sein-tumorectomie		Mastectomie partielle	20	N
QEFA001	GYNECOLOGIE	Chirurgie du sein-tumorectomie		Tumorectomie du sein avec curage lymphonodal axillaire	20	N
FAFA015	ORL-STOMATO	Adenoidectomies 		Amygdalectomie par dissection, avec adénoïdectomie	50	N
JJFC010	ORL-STOMATO	Actes sur les orelles et le tympan		Myringoplastie avec décollement du lambeau tympanoméatal, sans exploration mastoïdoatticale	50	N
JNJD001	ORL-STOMATO	Actes sur les oreilles et le tympan		Plastie bilatérale d'oreille décollée 	70	N
