CODE	APPAREIL	ORGANE
D373	APPAREIL DIGESTIF	Colon - Rectum
D374	APPAREIL DIGESTIF	Colon - Rectum
D375	APPAREIL DIGESTIF	Colon - Rectum
D376	APPAREIL DIGESTIF	Vesicule biliaire et voies biliaires extra hepatiques
D377	APPAREIL DIGESTIF	Autres localisations de l'appareil digestif
D379	APPAREIL DIGESTIF	Autres localisations de l'appareil digestif
D380	VADS	Larynx
D381	APPAREIL RESPIRATOIRE ET AUTRES THORAX	Trachee, Bronches, Poumon
D382	APPAREIL RESPIRATOIRE ET AUTRES THORAX	Plevre
D383	APPAREIL RESPIRATOIRE ET AUTRES THORAX	Thymus, coeur, Mediastin
D384	APPAREIL RESPIRATOIRE ET AUTRES THORAX	Thymus, coeur, Mediastin
D385	APPAREIL RESPIRATOIRE ET AUTRES THORAX	Autres localisations de l'appareil respiratoire
D386	APPAREIL RESPIRATOIRE ET AUTRES THORAX	Autres localisations de l'appareil respiratoire
D390	ORGANES GENITAUX FEMININS	Autres localisations des organes genitaux feminins
D391	ORGANES GENITAUX FEMININS	Ovaire
D392	ORGANES GENITAUX FEMININS	Placenta
D397	ORGANES GENITAUX FEMININS	Autres localisations des organes genitaux feminins
D399	ORGANES GENITAUX FEMININS	Autres localisations des organes genitaux feminins
D400	ORGANES GENITAUX MASCULINS	Prostate
D401	ORGANES GENITAUX MASCULINS	Testicule
D407	ORGANES GENITAUX MASCULINS	Autres localisations des organes genitaux masculins
D409	ORGANES GENITAUX MASCULINS	Autres localisations des organes genitaux masculins
D410	VOIES URINAIRES	Rein
D411	VOIES URINAIRES	Rein
D412	VOIES URINAIRES	Autres localisations des organes urinaires
D413	VOIES URINAIRES	Autres localisations des organes urinaires
D414	VOIES URINAIRES	Vessie
D417	VOIES URINAIRES	Autres localisations des organes urinaires
D419	VOIES URINAIRES	Autres localisations des organes urinaires
D420	SN CENTRAL	Meninges
D421	SN CENTRAL	Meninges
D429	SN CENTRAL	Meninges
D430	SN CENTRAL	Cerveau
D431	SN CENTRAL	Cerveau
D432	SN CENTRAL	Cerveau
D433	SN CENTRAL	Moelle epiniere, nerfs craniens
D434	SN CENTRAL	Moelle epiniere, nerfs craniens
D437	SN CENTRAL	Autres localisations du systeme nerveux central
D439	SN CENTRAL	Autres localisations du systeme nerveux central
D440	THYROIDE / GLANDES ENDOCRINES	Thyroide
D441	THYROIDE / GLANDES ENDOCRINES	Surrenale
D442	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D443	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D444	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D4440	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D4448	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D445	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D446	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D447	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D448	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D449	THYROIDE / GLANDES ENDOCRINES	Autres glandes endocrines
D45	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D460	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D461	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D462	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D463	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D464	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D467	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D469	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D470	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D471	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D472	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D473	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D477	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D479	HEMATOLOGIE	Maladies myeloproliferatives et syndromes myelodysplasiques
D480	OS	Os
D481	TISSUS MOUS	Tissus conjonctif
D482	TISSUS MOUS	Nerfs preripheriques, Systeme nerveux autonome
D483	APPAREIL DIGESTIF	Peritoine
D4830	APPAREIL DIGESTIF	Peritoine
D4838	APPAREIL DIGESTIF	Peritoine
D484	APPAREIL DIGESTIF	Peritoine
D485	PEAU	Autres tumeurs malignes de la peau
D486	SEIN	Sein
D487	T.M. SECONDAIRES, SIEGES MAL DEFINIS ET AUTRES LOCALISATIONS	Autres localisations
D489	T.M. SECONDAIRES, SIEGES MAL DEFINIS ET AUTRES LOCALISATIONS	Autres localisations
