CODE	CIM.CMA	NIVEAU	DIAG	LISTE_RACINE	LIBELLE
F2002	F20.02	2	765	-	SCHIZO PARANOÏDE +DÉFIC STABLE
F2003	F20.03	2	765	-	SCHIZO PARANOÏDE RÉMITTENTE
F2004	F20.04	2	765	-	SCHIZO PARANOÏDE RÉMISSION INCOMPLÈTE
F2005	F20.05	2	765	-	SCHIZO PARANOÏDE RÉMISSION CPLT
F2008	F20.08	2	765	-	SCHIZO PARANOÏDE AUTRE ÉVOL
F2009	F20.09	2	765	-	SCHIZO PARANOÏDE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F201	F20.1	2	765	-	SCHIZOPHRENIE HEBEPHRENIQUE
F2010	F20.10	2	765	-	SCHIZO HÉBÉPHRÉNIQUE CONTINUE
F2011	F20.11	2	765	-	SCHIZO HÉBÉPHRÉNIQUE +DÉFIC PROGR
F2012	F20.12	2	765	-	SCHIZO HÉBÉPHRÉNIQUE +DÉFIC STABLE
F2013	F20.13	2	765	-	SCHIZO HÉBÉPHRÉNIQUE RÉMITTENTE 
F2014	F20.14	2	765	-	SCHIZO HÉBÉPHRÉNIQUE RÉMISSION INCOMPLÈTE 
F2015	F20.15	2	765	-	SCHIZO HÉBÉPHRÉNIQUE RÉMISSION CPLT
F2018	F20.18	2	765	-	SCHIZO HÉBÉPHRÉNIQUE AUTRE ÉVOL
F2019	F20.19	2	765	-	SCHIZO HÉBÉPHRÉNIQUE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F202	F20.2	2	169	-	SCHIZOPHRENIE CATATONIQUE 
F2020	F20.20	2	169	-	SCHIZO CATATONIQUE CONTINUE
F2021	F20.21	2	169	-	SCHIZO CATATONIQUE +DÉFIC PROGR
F2022	F20.22	2	169	-	SCHIZO CATATONIQUE +DÉFIC STABLE 
F2023	F20.23	2	169	-	SCHIZO CATATONIQUE RÉMITTENTE
F2024	F20.24	2	169	-	SCHIZO CATATONIQUE RÉMISSION INCOMPLÈTE
F2025	F20.25	2	169	-	SCHIZO CATATONIQUE RÉMISSION CPLT 
F2028	F20.28	2	169	-	SCHIZO CATATONIQUE AUTRE ÉVOL
F2029	F20.29	2	169	-	SCHIZO CATATONIQUE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F203	F20.3	2	765	-	SCHIZOPHRENIE INDIFFERENCIEE
F2030	F20.30	2	765	-	SCHIZO INDIFFÉRENCIÉE CONTINUE
F2031	F20.31	2	765	-	SCHIZO INDIFFÉRENCIÉE +DÉFIC PROGR 
F2032	F20.32	2	765	-	SCHIZO INDIFFÉRENCIÉE +DÉFIC STABLE
F2033	F20.33	2	765	-	SCHIZO INDIFFÉRENCIÉE RÉMITTENTE
F2034	F20.34	2	765	-	SCHIZO INDIFFÉRENCIÉE RÉMISSION INCOMPLÈTE 
F2035	F20.35	2	765	-	SCHIZO INDIFFÉRENCIÉE RÉMISSION CPLT
F2038	F20.38	2	765	-	SCHIZO INDIFFÉRENCIÉE AUTRE ÉVOL
F2039	F20.39	2	765	-	SCHIZO INDIFFÉRENCIÉE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F204	F20.4	2	765	-	DEPRES. POST-SCHIZOPHRENIQUE 
F2040	F20.40	2	765	-	DÉPRES POSTSCHIZO CONTINUE
F2041	F20.41	2	765	-	DÉPRES POSTSCHIZO +DÉFIC PROGR
F2042	F20.42	2	765	-	DÉPRES POSTSCHIZO +DÉFIC STABLE
F2043	F20.43	2	765	-	DÉPRES POSTSCHIZO RÉMITTENTE
F2044	F20.44	2	765	-	DÉPRES POSTSCHIZO RÉMISSION INCOMPLÈTE
F2045	F20.45	2	765	-	DÉPRES POSTSCHIZO RÉMISSION CPLT 
F2048	F20.48	2	765	-	DÉPRES POSTSCHIZO AUTRE ÉVOL 
F2049	F20.49	2	765	-	DÉPRES POSTSCHIZO ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F205	F20.5	2	765	-	SCHIZOPHENIE RESIDUELLE
F2050	F20.50	2	765	-	SCHIZO RÉSIDUELLE CONTINUE
F2051	F20.51	2	765	-	SCHIZO RÉSIDUELLE +DÉFIC PROGR 
F2052	F20.52	2	765	-	SCHIZO RÉSIDUELLE +DÉFIC STABLE 
F2053	F20.53	2	765	-	SCHIZO RÉSIDUELLE RÉMITTENTE 
F2054	F20.54	2	765	-	SCHIZO RÉSIDUELLE RÉMISSION INCOMPLÈTE
F2055	F20.55	2	765	-	SCHIZO RÉSIDUELLE RÉMISSION CPLT
F2058	F20.58	2	765	-	SCHIZO RÉSIDUELLE AUTRE ÉVOL 
F2059	F20.59	2	765	-	SCHIZO RÉSIDUELLE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F206	F20.6	2	765	-	SCHIZOPHRENIE SIMPLE 
F2060	F20.60	2	765	-	SCHIZO SIMPLE CONTINUE 
F2061	F20.61	2	765	-	SCHIZO SIMPLE +DÉFIC PROGR 
F2062	F20.62	2	765	-	SCHIZO SIMPLE +DÉFIC STABLE 
F2063	F20.63	2	765	-	SCHIZO SIMPLE RÉMITTENTE 
F2064	F20.64	2	765	-	SCHIZO SIMPLE RÉMISSION INCOMPLÈTE
F2065	F20.65	2	765	-	SCHIZO SIMPLE RÉMISSION CPLT
F2068	F20.68	2	765	-	SCHIZO SIMPLE AUTRE ÉVOL
F2069	F20.69	2	765	-	SCHIZO SIMPLE ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP BRÈVE
F208	F20.8	2	765	-	SCHIZOPHRENIE, NCA
F2080	F20.80	2	765	-	AUTRES FORMES SCHIZO CONTINUE
F2081	F20.81	2	765	-	AUTRES FORMES SCHIZO +DÉFIC PROGR
F2082	F20.82	2	765	-	AUTRES FORMES SCHIZO +DÉFIC STABLE 
F2083	F20.83	2	765	-	AUTRES FORMES SCHIZO RÉMITTENTE
F2084	F20.84	2	765	-	AUTRES FORMES SCHIZO RÉMISSION INCOMPLÈTE
F2085	F20.85	2	765	-	AUTRES FORMES SCHIZO RÉMISSION CPLT 
F2088	F20.88	2	765	-	AUTRES FORMES SCHIZO AUTRE ÉVOL
F2089	F20.89	2	765	-	AUTRES FORMES SCHIZO ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP 
F209	F20.9	2	169	-	SCHIZOPHRENIE, SAI
F2090	F20.90	2	169	-	SCHIZO SAI CONTINUE
F2091	F20.91	2	169	-	SCHIZO SAI +DÉFIC PROGR
F2092	F20.92	2	169	-	SCHIZO SAI +DÉFIC STABLE
F2093	F20.93	2	169	-	SCHIZO SAI RÉMITTENTE 
F2094	F20.94	2	169	-	SCHIZO SAI RÉMISSION INCOMPLÈTE 
F2095	F20.95	2	169	-	SCHIZO SAI RÉMISSION CPLT 
F2098	F20.98	2	169	-	SCHIZO SAI AUTRE ÉVOL
F2099	F20.99	2	169	-	SCHIZO SAI ÉVOL IMPRÉVISIBLE PÉRIODE OBS TROP BRÈVE
F21	F21	2	765	-	TBL. SCHIZOTYPIQUE
F220	F22.0	2	765	-	TBL. DELIRANT 
F228	F22.8	2	765	-	TBL. DELIRANTS PERSISTANTS, NCA
F229	F22.9	2	765	-	TBL. DELIRANT PERSISTANT, SAI 
F230	F23.0	2	650	-	TBL. PSYCHOT. AIG. POLYMORPHE, SAI
F2300	F23.00	2	650	-	TBL PSYCHOT AIG POLYMORPHE SANS SYMPT SCHIZO SANS 
F2301	F23.01	2	650	-	TBL PSYCHOT AIG POLYMORPHE SANS SYMPT SCHIZO +STRESS 
F231	F23.1	2	650	-	TBL. PSYCHOT. AIG. POLYMORPHE AVEC SYMPT. 
F2310	F23.10	2	650	-	TBL PSYCHOT AIG POLYMORPHE +SYMPT SCHIZO SANS STRESS 
F2311	F23.11	2	650	-	TBL PSYCHOT AIG POLYMORPHE +SYMPT SCHIZO +STRESS 
F232	F23.2	2	650	-	TBL. PSYCHOT. AIG. D'ALLURE SCHIZOPHRENIQUE 
F2320	F23.20	2	650	-	TBL PSYCHOT AIG ALLURE SCHIZOPHR SANS STRESS ASSOCIÉ 
F2321	F23.21	2	650	-	TBL PSYCHOT AIG ALLURE SCHIZOPHR +STRESS ASSOCIÉ
F233	F23.3	2	650	-	TBL. PSYCHOT. AIG. DELIRANT, NCA 
F2330	F23.30	2	650	-	AUTRE TBL PSYCHOT AIG SURTT DÉLIR SANS STRESS ASSOCIÉ 
F2331	F23.31	2	650	-	AUTRE TBL PSYCHOT AIG SURTT DÉLIR +STRESS ASSOCIÉ
F238	F23.8	2	650	-	TBL. PSYCHOT. AIG. ET TRANSIT., NCA
F2380	F23.80	2	650	-	AUTRES TBL PSYCHOT AIGUS +TRANSITOIRES SANS STRESS 
F2381	F23.81	2	650	-	AUTRES TBL PSYCHOT AIGUS +TRANSITOIRES +STRESS ASSOCIÉ 
F239	F23.9	2	650	-	TBL. PSYCHOT. AIG. ET TRANSIT., SAI 
F2390	F23.90	2	650	-	TBL PSYCHOT AIG +TRANSIT SAI SANS STRESS ASSOCIÉ
F2391	F23.91	2	650	-	TBL PSYCHOT AIG +TRANSIT SAI +STRESS ASSOCIÉ
F24	F24	2	765	-	TBL. DELIRANT INDUIT 
F250	F25.0	2	894	-	TBL. SCHIZO-AFFECTIF, TYPE MANIAQUE
F2500	F25.00	2	894	-	TBL SCHIZOAFF, MANIAQUE, SYMPT AFF +SCHIZO 0 SYMPT SCHIZO 
F2501	F25.01	2	894	-	TBL SCHIZOAFF, MANIAQUE, SYMPT AFF +SCHIZO +SYMPT SCHIZO 
F251	F25.1	2	894	-	TBL. SCHIZO-AFFECTIF, TYPE DEPRES.
F2510	F25.10	2	894	-	TBL SCHIZOAFF, DÉPRES, SYMPT AFF +SCHIZO 0 SYMPT SCHIZO 
F2511	F25.11	2	894	-	TBL SCHIZOAFF, DÉPRES, SYMPT AFF +SCHIZO +SYMPT SCHIZO 
F252	F25.2	2	894	-	TBL. SCHIZO-AFFECTIF, TYPE MIXTE
F2520	F25.20	2	894	-	TBL SCHIZOAFF, MIXTE, SYMPT AFF +SCHIZO 0 SYMPT SCHIZO 
F2521	F25.21	2	894	-	TBL SCHIZOAFF, MIXTE, SYMPT AFF +SCHIZO +SYMPT SCHIZO 
F258	F25.8	2	894	-	TBL. SCHIZO-AFFECTIFS, NCA 
F2580	F25.80	2	894	-	AUTRES TBL SCHIZOAFF SYMPT AFF +SCHIZO 0 SYMPT SCHIZO 
F2581	F25.81	2	894	-	AUTRES TBL SCHIZOAFF SYMPT AFF +SCHIZO +SYMPT SCHIZO 
F259	F25.9	2	894	-	TBL. SCHIZO-AFFECTIF, SAI
F2590	F25.90	2	894	-	TBL SCHIZOAFF SAI SYMPT AFF +SCHIZO 0 SYMPT SCHIZO 
F2591	F25.91	2	894	-	TBL SCHIZOAFF SAI SYMPT AFF +SCHIZO +SYMPT SCHIZO 
F28	F28	2	765	-	TBL. PSYCHOT. NON ORG., NCA 
F29	F29	2	222	-	PSYCHOSE NON ORG., SAI 
F300	F30.0	2	765	-	HYPOMANIE
F301	F30.1	2	765	-	MANIE SANS SYMPT. PSYCHOT. 
F302	F30.2	2	169	-	MANIE AVEC SYMPT. PSYCHOT. 
F3020	F30.20	2	169	-	MANIE +SYMPT PSYCHOT HUMEUR CONCORD
F3021	F30.21	2	169	-	MANIE +SYMPT PSYCHOT HUMEUR NON CONCORD
F308	F30.8	2	765	-	EPISODES MANIAQUES, NCA
F309	F30.9	2	169	-	EPISODE MANIAQUE, SAI 
F310	F31.0	2	765	-	TBL. AFF. BIPOL., HYPOMANIAQUE
F311	F31.1	2	765	-	TBL. AFF. BIPOL., MANIAQUE SANS SYMPT. PSYCHOT.
F312	F31.2	2	765	-	TBL. AFF. BIPOL., MANIAQUE AVEC SYMPT. PSYCHOT.
F3120	F31.20	2	765	-	TBL AFF BIPOL ÉPISODE MANIAQUE +SYMPT PSYCHOT HUMEUR 
F3121	F31.21	2	765	-	TBL AFF BIPOL ÉPISODE MANIAQUE +SYMPT PSYCHOT HUMEUR 
F314	F31.4	2	765	-	TBL. AFF. BIPOL., DEPRES. SEVERE SANS SYMPT. PSYCHOT.
F315	F31.5	2	765	-	TBL. AFF. BIPOL., DEPRES. SEVERE AVEC SYMPT. PSYCHOT.
F3150	F31.50	2	765	-	TBL AFF BIPOL ÉPISODE DÉPRES SÉVÈRE +SYMPT PSYCHOT 
F3151	F31.51	2	765	-	TBL AFF BIPOL ÉPISODE DÉPRES SÉVÈRE +SYMPT PSYCHOT 
F316	F31.6	2	765	-	TBL. AFF. BIPOL., MIXTE
F318	F31.8	2	765	-	TBL. AFF. BIPOL., NCA
F322	F32.2	2	169	-	EPISODE DEPRES. SEVERE SANS SYMPT. PSYCHOT.
F323	F32.3	2	169	-	EPISODE DEPRES. SEVERE AVEC SYMPT. PSYCHOT.
F3230	F32.30	2	169	-	EPISODE DÉPRES SÉVÈRE +SYMPT PSYCHOT HUMEUR CONCORD
F3231	F32.31	2	169	-	EPISODE DÉPRES SÉVÈRE +SYMPT PSYCHOT HUMEUR NON 
F331	F33.1	2	169	42	TBL. DEPRES. RECURRENT, MOY.
F3310	F33.10	2	169	42	TBL DÉPRES RÉCURRENT ÉPISODE ACTUEL MOY SANS SYND 
F3311	F33.11	2	169	42	TBL DÉPRES RÉCURRENT ÉPISODE ACTUEL MOY +SYND 
F332	F33.2	2	169	-	TBL. DEPRES. RECURRENT, SEVERE SANS SYMPT. PSYCHOT.
F333	F33.3	2	169	-	TBL. DEPRES. RECURRENT, SEVERE AVEC SYMPT. PSYCHOT.
F3330	F33.30	2	169	-	TBL DÉPRES RÉCURRENT ÉPISODE SÉVÈRE +SYMPT PSYCHOT 
F3331	F33.31	2	169	-	TBL DÉPRES RÉCURRENT ÉPISODE SÉVÈRE +SYMPT PSYCHOT 
F412	F41.2	2	169	43	TBL. ANXIEUX ET DEPRES. MIXTE
F420	F42.0	2	765	-	TBL. OBSESS.-COMPULSIF AVEC IDEES OU RUMINATIONS OBSED. 
F421	F42.1	2	765	-	TBL. OBSESS.-COMPULSIF AVEC COMPORT. COMP. AU 1ER PLAN
F422	F42.2	2	765	-	TBL. OBSESS.-COMPULSIF : FORME MIXTE
F428	F42.8	2	765	-	TBL. OBSESS.-COMPULSIF, NCA
F429	F42.9	2	765	-	TBL. OBSESS.-COMPULSIF, SAI
F431	F43.1	2	98	-	ETAT DE STRESS POST-TRAUMA.
F440	F44.0	2	955	-	AMNESIE DISSOCIATIVE
F441	F44.1	2	955	-	FUGUE DISSOCIATIVE
F442	F44.2	2	27	-	STUPEUR DISSOCIATIVE
F443	F44.3	2	955	-	ETATS DE TRANSE ET DE POSSESSION
F444	F44.4	2	955	-	TBL. MOTEURS DISSOCIATIFS 
F445	F44.5	2	669	-	CONVULSIONS DISSOCIATIVES
F446	F44.6	2	955	-	ANEST. DISSOCIATIVE ET ATTEINTES SENSORIELLES 
F447	F44.7	2	955	-	TBL. DISSOCIATIF MIXTE 
F448	F44.8	2	955	-	TBL. DISSOCIATIFS, NCA 
F4480	F44.80	2	955	-	SYND GANSER 
F4481	F44.81	2	955	-	PERSO MULT
F4482	F44.82	2	955	-	TBL DISSOCIATIFS TRANSITOIRES ENFANCE/ADO
F4488	F44.88	2	955	-	AUTRES TBL DISSOCIATIFS SPÉCIFIÉS
F449	F44.9	2	484	-	TBL. DISSOCIATIF, SAI
F450	F45.0	2	645	-	SOMATISATION
F451	F45.1	2	645	-	TBL. SOMATOFORME INDIFFERENCIE 
F452	F45.2	2	645	-	TBL. HYPOCONDRIAQUE 
F454	F45.4	2	645	-	SYND. DOULOUREUX SOMATOFORME PERSISTANT
F481	F48.1	2	765	-	SYND. DE DEPERSONNALISATION-DEREALISATION 
F531	F53.1	2	765	-	TBL. MENT. SEVERES ASSOCIES A LA PUERP., NCA
F600	F60.0	2	765	-	PERSON. PARANOIAQUE
F601	F60.1	2	765	-	PERSON. SCHIZOIDE
F602	F60.2	2	765	-	PERSON. DYSSOCIALE
F6030	F60.30	2	765	-	PERSO ÉMOTIONNELLEMENT LABILE TYPE IMPULSIF 
F6031	F60.31	2	765	-	PERSO ÉMOTIONNELLEMENT LABILE TYPE BORDERLINE 
F604	F60.4	2	765	-	PERSON. HISTRIONIQUE 
F605	F60.5	2	765	-	PERSON. ANANKASTIQUE
F61	F61	2	765	-	TBL. MIXTES DE LA PERSON. ET AUTRES TBL. DE LA PERSON.
F61+0	F61.+0	2	765	-	TBL MIXTES PERSO 
F61+1	F61.+1	2	765	-	MODIFICATIONS GÊNANTES PERSO 
F630	F63.0	2	765	-	JEU PATHO.
F631	F63.1	2	765	-	TENDANCE PATHO. A ALLUMER DES INCENDIES 
F632	F63.2	2	765	-	TENDANCE PATHO. A COMMETTRE DES VOLS
F633	F63.3	2	765	-	TRICHOTILLOMANIE 
F638	F63.8	2	765	-	TBL. DES HABITUDES ET DES IMPULSIONS, NCA 
F639	F63.9	2	765	-	TBL. DES HABITUDES ET DES IMPULSIONS, SAI
F720	F72.0	2	69	-	RETARD MENT. GRAVE : DEFICIENCE DU COMPORT. ABSENT OU 
F721	F72.1	2	69	-	RETARD MENT. GRAVE : DEFICIENCE DU COMPORT. SIGNIFICATIF
F728	F72.8	2	69	-	RETARD MENT. GRAVE : AUTRES DEFICIENCE DU COMPORT.
F729	F72.9	2	69	-	RETARD MENT. GRAVE : SANS MENTION D'UNE DEFICIENCE DU 
F730	F73.0	2	69	-	RETARD MENT. PROF. : DEFICIENCE DU COMPORT. ABSENT OU 
F731	F73.1	2	69	-	RETARD MENT. PROF. : DEFICIENCE DU COMPORT. SIGNIFICATIF
F738	F73.8	2	69	-	RETARD MENT. PROF. : AUTRES DEFICIENCE DU COMPORT.
F739	F73.9	2	69	-	RETARD MENT. PROF. : SANS MENTION D'UNE DEFICIENCE DU 
F940	F94.0	2	765	-	MUTISME ELECTIF
F941	F94.1	2	765	-	TBL. REACTIONNEL DE L'ATTACHEMENT DE L'ENFANCE 
F942	F94.2	2	765	-	TBL. DE L'ATTACHEMENT DE L'ENFANCE AVEC DESINHIBITION
G020	G02.0	2	841	-	MENINGITE AVEC INFECT. VIRALES CL. AILL.
G030	G03.0	2	841	-	MENINGITE A LIQUIDE CLAIR
G031	G03.1	2	841	-	MENINGITE CHRON. 
G032	G03.2	2	841	-	MENINGITE RECURRENTE B.
G038	G03.8	2	841	-	MENINGITE DUE A D'AUTRES CAUSES PREC.
G039	G03.9	2	56	-	MENINGITE, SAI
G040	G04.0	2	449	-	ENCEPHALITE AIG. DISSEMINEE 
G041	G04.1	2	449	-	PARAPLEGIE SPASTIQUE TROPICALE 
G042	G04.2	2	449	-	MENINGO-ENCEPHALITE ET MENINGOMYELITE BACT., NCA
G048	G04.8	2	449	-	ENCEPHALITES, MYELITES, NCA
G049	G04.9	2	449	-	ENCEPHALITE, MYELITE , SAI 
G050	G05.0	2	46	-	ENCEPHALITE, MYELITE AVEC INFECT. BACT. CL. AILL.
G051	G05.1	2	130	-	ENCEPHALITE, MYELITE AVEC INFECT. VIRALES CL. AILL. 
G052	G05.2	2	130	-	ENCEPHALITE, MYELITE AVEC AUTRES MAL. INFECT. ET PARASIT. 
G058	G05.8	2	130	-	ENCEPHALITE, MYELITE AVEC AUTRES AFF. CL. AILL.
G08	G08	2	11	-	PHLEBITE ET THROMBOPHLEBITE INTRACRAN. ET INTRARACH.
G10	G10	2	838	-	CHOREE DE HUNTINGTON
G110	G11.0	2	858	-	ATAXIE CONG. NON PROGRESSIVE
G111	G11.1	2	858	-	ATAXIE CEREBELLEUSE A DEBUT PRECOCE
G112	G11.2	2	858	-	ATAXIE CEREBELLEUSE TARDIVE
G113	G11.3	2	209	-	ATAXIE CEREBELLEUSE AVEC DEFAUT DE REPARATION DE L'ADN 
G114	G11.4	2	858	-	PARAPLEGIE SPASTIQUE HERED.
G118	G11.8	2	858	-	ATAXIES HERED., NCA
G119	G11.9	2	209	-	ATAXIE HERED., SAI
G122	G12.2	2	43	-	MAL. DU NEURONE MOTEUR
G20	G20	2	104	-	MAL. DE PARKINSON
G212	G21.2	2	507	-	SYND. PARKINSONIEN IIRE. DU A D'AUTRES AGENTS EXT.
G213	G21.3	2	507	-	SYND. PARKINSONIEN POSTENCEPHALITIQUE
G214	G21.4	2	507	-	PARKINSONISME VASC. 
G218	G21.8	2	507	-	SYND. PARKINSONIENS IIRE., NCA 
G219	G21.9	2	507	-	SYND. PARKINSONIEN IIRE., SAI 
G22	G22	2	454	-	SYND. PARKINSONIEN AVEC MAL. CL. AILL. 
G230	G23.0	2	454	-	MAL. DE HALLERVORDEN-SPATZ
G231	G23.1	2	454	-	OPHTALMOPLEGIE SUPRANUCLEAIRE PROGRESSIVE 
G232	G23.2	2	454	-	ATROPHIE MULTISYSTÉMATISÉE DE TYPE PARKINSONIEN
G233	G23.3	2	454	-	ATROPHIE MULTISYSTÉMATISÉE DE TYPE CÉRÉBELLEUX
G238	G23.8	2	454	-	MAL. DEGEN. PREC. DES NOYAUX GRIS CENTRAUX, NCA 
G239	G23.9	2	454	-	MAL. DEGEN. DES NOYAUX GRIS CENTRAUX, SAI
G250	G25.0	2	924	42	TREMBLEMENT ESSENTIEL
G251	G25.1	2	924	42	TREMBLEMENT DU A DES MEDICAM.
G252	G25.2	2	924	42	FORMES PREC. DE TREMBLEMENT, NCA 
G253	G25.3	2	924	42	MYOCLONIE
G254	G25.4	2	924	42	CHOREE MEDICAM.
G255	G25.5	2	924	42	CHOREES, NCA
G256	G25.6	2	924	42	TICS MEDICAM. ET AUTRES TICS D'ORIGINE ORG.
G258	G25.8	2	924	42	SYND. PREC. EXTRAPYRAMIDAUX ET TBL. DE LA MOTRICITE, NCA
G259	G25.9	2	924	42	SYND. EXTRAPYRAMIDAL ET TBL. DE LA MOTRICITE, SAI
G26	G26	2	454	-	SYND. EXTRAPYRAMIDAUX ET TBL. DE LA MOTRICITE AVEC AFF. CL. 
G300	G30.0	2	831	-	MAL. D'ALZHEIMER A DEBUT PRECOCE
G301	G30.1	2	831	-	MAL. D'ALZHEIMER A DEBUT TARDIF
G308	G30.8	2	831	-	MAL. D'ALZHEIMER, NCA
G309	G30.9	2	831	-	MAL. D'ALZHEIMER, SAI
G310	G31.0	2	351	-	ATROPHIE CEREB. CIRCONSCRITE
G311	G31.1	2	668	-	DEGEN. CEREB. SENILE, NCA
G318	G31.8	2	351	-	AFF. DEGEN. PREC. DU SYST. NERV., NCA
G319	G31.9	2	1026	-	AFF. DEGEN. DU SYST. NERV., SAI
G320	G32.0	2	124	-	DEGEN. COMBINEE SUBAIG. DE LA MOELLE EP. AVEC MAL. CL. AILL. 
G328	G32.8	2	124	-	AFF. DEGEN. PREC. NCA DU SYST. NERV. AVEC MAL. CL. AILL.
G370	G37.0	2	405	-	SCLEROSE DIFFUSE 
G371	G37.1	2	405	-	DEMYELINISATION CENTRALE DU CORPS CALLEUX
G373	G37.3	2	405	-	MYELITE TRANSVERSE AIG. 
G374	G37.4	2	405	-	MYELITE NECROSANTE SUBAIG.
G375	G37.5	2	405	-	SCLEROSE CONCENTRIQUE
G378	G37.8	2	405	-	AFF. DEMYELINISANTES PREC. DU S.N.C., NCA
G379	G37.9	2	405	-	AFF. DEMYELINISANTE DU S.N.C., SAI 
G406	G40.6	2	18	-	CRISE DE GD. MAL, SAI
G407	G40.7	2	18	-	PT. MAL, SANS CRISES DE GD. MAL, SAI 
G411	G41.1	2	376	-	ETAT DE PT. MAL EPILEP.
G450	G45.0	2	1001	-	SYND. VERTEBRO-BASILAIRE
G451	G45.1	2	785	-	SYND. CAROTIDIEN 
G452	G45.2	2	839	-	ACCID. ISCHEM. TRANSIT. DE TERRITOIRES ART. PRECEREB. MULT. 
G458	G45.8	2	641	-	ACCID. ISCHEM. CEREB. TRANSIT. ET SYND. APPARENTES, NCA 
G463	G46.3	2	72	-	SYND. VASC. DU TRONC CEREB. 
G464	G46.4	2	72	-	SYND. CEREBELLEUX VASC.
G465	G46.5	2	72	-	SYND. LACUNAIRE MOTEUR PUR 
G466	G46.6	2	72	-	SYND. LACUNAIRE SENSITIF PUR 
G467	G46.7	2	72	-	SYND. LACUNAIRES, NCA 
G468	G46.8	2	72	-	SYND. VASC. CEREB. AVEC MAL. CEREBROVASC., NCA
G520	G52.0	2	1021	-	AFF. DU NERF OLFACTIF 
G523	G52.3	2	1021	-	AFF. DU NERF GD. HYPOGLOSSE
G527	G52.7	2	195	-	AFF. DE PLUS. NERFS CRANIENS 
G528	G52.8	2	195	-	AFF. D'AUTRES NERFS CRANIENS PREC.
G530	G53.0	2	779	-	NEVRALGIE POST-ZOSTERIENNE
G531	G53.1	2	184	-	PARALYSIE DE PLUS. NERFS CRAN. AVEC MAL. INFECT., PARASIT. 
G532	G53.2	2	1025	-	PARALYSIE DE PLUS. NERFS CRANIENS AVEC SARCOIDOSE
G533	G53.3	2	576	-	PARALYSIE DE PLUS. NERFS CRANIENS AVEC MAL. TUMORALES 
G538	G53.8	2	576	-	AFF. DES NERFS CRANIENS AVEC AUTRES MAL. CL. AILL., NCA
G570	G57.0	2	519	-	LES. DU NERF SCIATIQUE
G572	G57.2	2	865	-	LES. DU NERF FEMORAL 
G573	G57.3	2	865	-	LES. DU NERF SCIATIQUE POPLITE EXT. 
G574	G57.4	2	865	-	LES. DU NERF SCIATIQUE POPLITE INT. 
G590	G59.0	2	662	-	MONONEVRITE DIABETIQUE 
G610	G61.0	2	935	-	SYND. DE GUILLAIN-BARRE
G620	G62.0	2	789	-	POLYNEVRITE MEDICAM.
G621	G62.1	2	399	-	POLYNEVRITE ALCOOLIQUE 
G622	G62.2	2	273	-	POLYNEVRITE DUE A D'AUTRES AGENTS TOXIQUES 
G628	G62.8	2	167	-	POLYNEVRITES PREC., NCA
G632	G63.2	2	110	-	POLYNEVRITE DIABETIQUE
G633	G63.3	2	561	-	POLYNEVRITE AVEC AUTRES MAL. ENDOCRINIENNES ET METAB. 
G720	G72.0	2	945	-	MYOPATHIE MEDICAM.
G721	G72.1	2	100	-	MYOPATHIE ALCOOLIQUE
G722	G72.2	2	945	-	MYOPATHIE DUE A D'AUTRES AGENTS TOXIQUES
G800	G80.0	2	532	-	PARALYSIE CEREB. SPASTIQUE QUADRIPLEGIQUE 
G801	G80.1	2	532	-	PARALYSIE CEREB. SPASTIQUE DIPLEGIQUE
G802	G80.2	2	532	-	PARALYSIE CEREB. SPASTIQUE HEMIPLEGIQUE 
G803	G80.3	2	852	-	PARALYSIE CEREB. DYSKINETIQUE 
G804	G80.4	2	852	-	PARALYSIE CEREB. ATAXIQUE
G8101	G81.01	2	991	-	HÉMIPLÉGIE FLASQUE RÉCENTE DURÉE INF À 24 H
G8108	G81.08	2	991	-	HÉMIPLÉGIE FLASQUE NCA ET SAI 
G811	G81.1	2	475	-	HEMIPLEGIE SPASTIQUE
G819	G81.9	2	991	-	HEMIPLEGIE, SAI
G821	G82.1	2	434	-	PARAPLEGIE SPASTIQUE 
G822	G82.2	2	434	-	PARAPLEGIE, SAI
G824	G82.4	2	565	-	TETRAPLEGIE SPASTIQUE
G825	G82.5	2	565	-	TETRAPLEGIE, SAI 
G830	G83.0	2	489	-	DIPLEGIE DES MB. SUP.
G831	G83.1	2	489	-	MONOPLEGIE D'UN MB. INF. 
G832	G83.2	2	916	-	MONOPLEGIE D'UN MB. SUP.
G834	G83.4	2	6	-	SYND. DE LA QUEUE DE CHEVAL
G835	G83.5	2	489	-	SYNDROME DE DÉEFFÉRENTATION MOTRICE 
G912	G91.2	2	670	-	HYDROCEPHALIE A PRESSION NL.
G918	G91.8	2	670	-	HYDROCEPHALIES, NCA
G919	G91.9	2	670	-	HYDROCEPHALIE, SAI
G931	G93.1	2	769	-	LES. CEREB. ANOXIQUE, NCA 
